x1,x2,y
0.0000,0.0000,0
0.0000,1.0000,1
1.0000,0.0000,1
1.0000,1.0000,0
-0.0519,-0.0709,0
-0.0334,-0.0301,0
0.1025,0.0854,0
-0.0109,0.0454,0
0.1481,-0.0958,0
0.0393,0.2183,0
0.1249,-0.1360,0
0.0806,-0.1091,0
0.0164,0.0532,0
0.0214,0.1293,0
0.0981,0.0291,0
0.0668,-0.0433,0
0.0370,-0.0232,0
-0.0532,-0.0335,0
0.1717,-0.0880,0
-0.0528,0.0696,0
-0.1531,-0.1606,0
-0.0841,0.1740,0
0.0643,-0.1133,0
-0.0135,-0.0876,0
0.0843,-0.0835,0
0.0640,0.1008,0
-0.0829,-0.0758,0
0.1506,0.0411,0
-0.2092,-0.0224,0
-0.1302,0.9615,1
0.0517,1.0236,1
0.0315,0.9141,1
0.0167,1.0949,1
-0.1022,1.0184,1
0.0822,0.9865,1
-0.0494,1.0257,1
0.0186,1.1196,1
-0.0320,0.9663,1
-0.0345,1.1509,1
0.1838,0.9149,1
0.0506,1.0980,1
0.0520,0.9934,1
-0.0757,0.9610,1
0.0505,0.9401,1
0.1152,1.1801,1
0.0654,1.1112,1
-0.0519,0.9336,1
0.0033,1.0017,1
-0.1089,0.9806,1
0.0120,1.0669,1
0.1290,0.9280,1
0.0668,1.0203,1
-0.0487,0.9740,1
-0.0600,1.0760,1
0.9807,-0.0996,1
1.0115,-0.0493,1
0.9498,-0.0538,1
0.9538,0.1657,1
1.0857,-0.0231,1
0.8355,0.0176,1
1.2804,0.2106,1
1.0500,0.1996,1
1.1031,-0.0715,1
1.1624,0.3050,1
0.7898,-0.1173,1
1.1310,-0.0829,1
0.9676,0.0672,1
1.0652,0.0280,1
1.0823,0.0199,1
1.0373,-0.1660,1
1.0734,0.1075,1
1.1620,-0.1453,1
1.0448,-0.0655,1
0.9768,0.0000,1
1.0332,0.1161,1
0.9968,0.0427,1
0.9753,0.0119,1
0.8291,0.1036,1
1.2079,0.0527,1
0.9367,0.9485,0
1.1726,0.8465,0
1.2885,0.9796,0
1.1099,0.9541,0
0.9388,0.8579,0
0.9474,1.0679,0
0.9696,0.9776,0
1.0334,0.9640,0
0.9647,1.1199,0
0.9286,1.0319,0
1.0854,1.0255,0
0.9707,0.9221,0
1.0732,0.9598,0
1.1148,1.0358,0
1.0949,1.1583,0
1.0892,1.0087,0
1.0317,1.0664,0
0.9953,1.0326,0
0.7799,0.9076,0
0.8856,0.9222,0
0.9639,1.1415,0
1.1916,0.8769,0
0.9644,0.9110,0
0.8871,0.8864,0
1.0420,1.0941,0
